Financial Year,Name,Address Line 1,Address Line 2,Suburb,State,Postcode,Lodged on behalf of,Associated Party,Total Receipts,Total Payments,Total Debts,Discretionary Benefits,Capital Contributions
2015-16,Enterprise West,c/o Liberal Party (Victorian Division),104 Exhibition Street,MELBOURNE,VIC,3000,,Liberal Party of Australia (Victorian Division),1560,1348,0,0,0
2015-16,Finance Sector Union of Aust - QLD Branch,PO Box 3054,,SOUTH BRISBANE,QLD,4101,,Australian Labor Party (State of Queensland),1625339,1625339,0,0,0
2015-16,Finance Sector Union of Aust - SA/NT Branch,Level 1,229 Greenhill Road,DULWICH,SA,5065,,Australian Labor Party (South Australian Branch),1001484,1001484,0,0,0
2015-16,Finance Sector Union of Australia - NSW Branch,PO Box A2442,,SYDNEY SOUTH,NSW,1235,,Australian Labor Party (N.S.W. Branch),3240254,3240254,0,0,0
2015-16,Finance Sector Union of Australia - VIC/TAS Branch,1/341 Queen Street,,MELBOURNE,VIC,3000,,Australian Labor Party (Victorian Branch),2811583,2811583,0,0,0
2015-16,Finance Sector Union of Australia - WA Branch,PO Box 2602,,PERTH,WA,6001,,Australian Labor Party (Western Australian Branch),1038913,1038913,0,0,0
2015-16,Flight Attendants Association of Australia - National Division,20 Ewan Street,,MASCOT,NSW,2020,,Australian Labor Party (N.S.W. Branch),1230694,1432659,109888,0,0
2015-16,Forest Hill Supporters' Club,PO Box 140,,FOREST HILL,VIC,3131,,Liberal Party of Australia (Victorian Division),17005,10995,0,0,0
2015-16,Foundation 51 Pty Ltd,Post Office Box 199,,DARWIN,NT,801,,Country Liberals (Northern Territory),0,0,0,0,0
2015-16,Gatenby Investment Fund,GPO Box 469,,HOBART,TAS,7001,,Liberal Party of Australia - Tasmanian Division,243948,236154,641328,0,0
2015-16,Goulburn River & Ranges 200 Club,PO Box 104,,ALEXANDRA,VIC,3714,,Liberal Party of Australia (Victorian Division),5460,5014,0,0,0
2015-16,Health & Community Services Union Vic No. 2 HSU,PO Box 206,,CARLTON SOUTH,VIC,3053,,Australian Labor Party (Victorian Branch),4488772,4455384,1084789,0,0
2015-16,Health Services Union SA Branch,Suite 46,255 Drummond St,CARLTON,VIC,3053,,Australian Labor Party (South Australian Branch),448509,408999,238788,0,0
2015-16,"Health Services Union, Tasmania Branch",PO Box 635,,NORTH HOBART,TAS,7002,,Australian Labor Party (Tasmanian Branch),4441703,4190110,147161,0,0
2015-16,Higgins 200 Club,PO Box 8050,,ARMADALE,VIC,3143,,Liberal Party of Australia (Victorian Division),277150,383644,0,0,0
2015-16,Higgins Foundation Ltd,5 Turnbull Ave,,TOORAK,VIC,3142,,Liberal Party of Australia (Victorian Division),22645,263751,0,0,0
2015-16,Industrial Staff Union,160 Clarence Street,,SYDNEY,NSW,2000,,Australian Labor Party (N.S.W. Branch),36536,18933,0,0,0
2015-16,Jagajaga 200 Club,PO Box 183,,WEST HEIDELBERG,VIC,3081,,Liberal Party of Australia (Victorian Division),68227,39469,0,0,0
2015-16,John Curtin House Limited,PO Box 6222,,KINGSTON,ACT,2604,,Australian Labor Party (ALP),2344495,2516872,23760,0,0
2015-16,John McEwen House Pty Ltd,PO Box 3328,,MANUKA,ACT,2603,,National Party of Australia,1104987,1932439,2338150,0,0
2015-16,Kaye Sutherland Memorial Bequest Fund,141 Gilles Street,,ADELAIDE,SA,5000,,Australian Labor Party (South Australian Branch),0,0,0,0,0
2015-16,Kooyong 200 Club,PO Box 1006,,CAMBERWELL,VIC,3124,,Liberal Party of Australia (Victorian Division),463862,670487,0,0,0
2015-16,Labor Campaign Pty Ltd,PO Box K408,,HAYMARKET,NSW,1240,,Australian Labor Party (N.S.W. Branch),0,0,0,0,0
2015-16,Labor Holdings Pty Ltd,16 Peel St,,SOUTH BRISBANE,QLD,4101,,Australian Labor Party (State of Queensland),8000037,8727797,3741410,0,0
2015-16,Labor Services & Holding Pty Ltd ATF the Labor Services and Holding Trust,438 Docklands Drive,,DOCKLANDS,VIC,3008,,Australian Labor Party (Victorian Branch),3304494,3464801,4774365,0,0
2015-16,Liberal Asset Management (Custodians) Limited,Locked Bag 2,,KINGS CROSS,NSW,1340,,"Liberal Party of Australia, NSW Division",163735,1028320,545396,0,0
2015-16,Liberal Club Limited,GPO Box 556,,TORRENSVILLE,SA,5031,,Liberal Party of Australia (S.A. Division),65361,54891,0,0,0
2015-16,Liberal Properties Limited,Locked Bag 2,,KINGS CROSS,NSW,1340,,"Liberal Party of Australia, NSW Division",689,215,4000,0,0
2015-16,LNP Nominees Pty Ltd as Trustee for the 6 St Paul's Terrace Unit Trust,PO Box 940,,SPRING HILL,QLD,4004,,Liberal National Party of Queensland,603663,547300,9409640,0,0
2015-16,LPPH Pty Ltd,PO Box 49,,WEST PERTH,WA,6872,,Liberal Party (W.A. Division) Inc.,50811,41763,16137,0,0
2015-16,Macedon Speakers Club,8 Alpine Court,,SUNBURY,VIC,3429,,Liberal Party of Australia (Victorian Division),701,0,0,0,0
2015-16,Mallen's Colac Hotel Pty Ltd,141 Gilles Street,,ADELAIDE,SA,5000,,Australian Labor Party (South Australian Branch),6006,34244,0,0,0
2015-16,Media Entertainment & Arts Alliance,PO Box 723,,STRAWBERRY HILLS,NSW,2012,Media Entertainment Arts & Alliance - VIC Branch; Media Entertainment ARts & Alliance - QLD Branch; Media Entertainment Arts & Alliance - SA Branch; Media Entertainment Arts & Alliance - WA Office; Media Entertainment & Arts Alliance NSW Branch,Australian Labor Party (N.S.W. Branch); Australian Labor Party (South Australian Branch),12639536,13100707,763824,0,0
2015-16,Mehring Books Pty Ltd,PO Box 574,,STRAWBERRY HILLS,NSW,2012,,Socialist Equality Party,257366,252603,0,0,0
2015-16,Menzies 200 Club,PO Box 583,,DONCASTER,VIC,3108,,Liberal Party of Australia (Victorian Division),106856,194547,0,0,0
2015-16,Mornington Gold,C/o 321 Main Street,,MORNINGTON,VIC,3931,,Liberal Party of Australia (Victorian Division),14089,1014,0,0,0
2015-16,National Union of Workers - National Office,PO Box 343,,NORTH MELBOURNE,VIC,3051,National Union of Workers - General Branch,Australian Labor Party (ALP),13986691,13023443,662325,0,0
2015-16,National Union of Workers - NSW Branch,3-5 Bridge Street,,GRANVILLE,NSW,2142,,Australian Labor Party (N.S.W. Branch),8237454,9304639,618306,0,0
2015-16,National Union of Workers - Victorian Branch,833 Bourke Street,,DOCKLANDS,VIC,3008,,Australian Labor Party (Victorian Branch),15417383,15666817,456082,0,0
2015-16,New South Wales Local Government Clerical Administrative Energy Airlines & Utilities Union T/A United Services Union,"Level 7, 321 Pitt Street",,SYDNEY,NSW,2000,,Australian Labor Party (N.S.W. Branch),15088674,15039627,4006089,0,0
2015-16,North Eastern Business Circle,169 Westgarth St,,NORTHCOTE,VIC,3070,,Liberal Party of Australia (Victorian Division),0,0,0,0,0
2015-16,North West 200 Club,PO Box 164,,Keilor East,VIC,3033,,Liberal Party of Australia (Victorian Division),2460,30668,0,0,0
2015-16,Northern Territory ALP Investment Trust,GPO Box 2026,,DARWIN,NT,801,,Australian Labor Party (Northern Territory) Branch,66438,33277,137670,0,0
2015-16,NSW Labor Campaign Investment Pty Ltd,PO Box K408,,HAYMARKET,NSW,1240,,Australian Labor Party (N.S.W. Branch),0,0,0,0,0
2015-16,NTN Services ,PO Box 55,,MOOROOKA,QLD,4105,,Australian Labor Party (State of Queensland); Australian Labor Party (Northern Territory) Branch,0,301,0,0,0
2015-16,OUTER EASTERN Platinum Club,253 Dorset Rd,,Boronia,VIC,3155,,Liberal Party of Australia (Victorian Division),87513,35951,0,0,0
2015-16,Parakeelia Pty Ltd,PO Box 6004,,KINGSTON,ACT,2604,,Liberal Party of Australia,1168914,949130,0,0,0
2015-16,Parliamentary Liberal Party Communication Committee (Victoria),321 Main St (PO Box 2000),,MORNINGTON,VIC,3931,,Liberal Party of Australia (Victorian Division),73308,52439,0,0,0
2015-16,Perth Trades Hall Inc,PO Box 8117,,PERTH BUSINESS CENTRE,WA,6849,,Australian Labor Party (Western Australian Branch),534800,319230,1191245,0,0
2015-16,Pilliwinks Pty Ltd as Trustee National Party Foundation,"Suite 908, Level 9, 343 Little Collins Street",,MELBOURNE,VIC,3000,,National Party of Australia - Victoria,1035877,1090713,596966,0,0
2015-16,Progressive Business Association Inc,PO Box 4021,,FITZROY,VIC,3065,,Australian Labor Party (Victorian Branch),895660,1002125,115482,0,0
2015-16,"Queensland Services, Industrial Union of Employees",PO Box 3347,,SOUTH BRISBANE,QLD,4101,,Australian Labor Party (State of Queensland),23419,45081,0,0,0
2015-16,Ripon 250 Club,62 McKinlay Street,,LANDSBOROUGH,VIC,3385,,Liberal Party of Australia (Victorian Division),0,0,0,0,0
2015-16,SA Progressive Business Incorporated,141 Gilles Street,,ADELAIDE,SA,5000,,Australian Labor Party (South Australian Branch),394704,267384,67280,0,0
2015-16,Scoresby City Club,PO Box 2342,,MELBOURNE,VIC,3001,,Liberal Party of Australia (Victorian Division),31389,21667,0,0,0
2015-16,Shop Assistants & Warehouse Employees' Federation of Australia-Newcastle & Northern NSW,PO Box 2211,,DANGAR,NSW,2309,,Australian Labor Party (N.S.W. Branch),41873310,4047443,0,0,0
2015-16,Shop Distributive & Allied Employees' Asn. NSW Deductions A/C Office,PO Box K230,,HAYMARKET,NSW,1240,,Australian Labor Party (N.S.W. Branch),22131935,20976906,547183,0,0
2015-16,Shop Distributive & Allied Employees Association - Tasmanian Branch,72 York Street,,LAUNCESTON,TAS,7250,,Australian Labor Party (Tasmanian Branch),1910571,2108044,269686,0,0
2015-16,Shop Distributive & Allied Employees Association - VIC Branch,65 Southbank Boulevard,,SOUTHBANK,VIC,3006,,Australian Labor Party (Victorian Branch),16017812,13623032,565537,0,0
2015-16,Shop Distributive & Allied Employees' Association NSW Branch,PO Box K230,,HAYMARKET,NSW,1240,,Australian Labor Party (N.S.W. Branch),3704587,3701993,25499,0,0
2015-16,Shop Distributive & Allied Employees' Association of Western Australia,"5th Floor, 25 Barrack Street",,PERTH,WA,6000,,Australian Labor Party (Western Australian Branch),8453517,8250712,1161181,0,0
2015-16,Shop Distributive & Allied Employees Association South Australian Branch (Federal Body),1/69 Fullarton Road,,KENT TOWN,SA,5067,,Australian Labor Party (Northern Territory) Branch,1621347,1723444,23505,0,0
2015-16,Shop Distributive & Allied Employees Association South Australian Branch (State Body),1/69 Fullarton Road,,KENT TOWN,SA,5067,,Australian Labor Party (South Australian Branch),8118240,7300860,239570,0,0
2015-16,Shop Distributive and Allied Employees Association (QLD Branch),PO Box 490,,SPRING HILL,QLD,4004,,Australian Labor Party (ALP),23148567,25134470,1928602,0,0
2015-16,"Shop, Distributive & Allied Employees' Association - National",Sixth Floor,53 Queen Street,MELBOURNE,VIC,3000,,Australian Labor Party (ALP),9626225,10089835,424391,0,0
2015-16,Sir Charles Court Foundation,PO Box 1144,,APPLECROSS,WA,6153,SCCF WA Pty Ltd,Liberal Party (W.A. Division) Inc.,40982,29374,0,0,0
2015-16,Team 200 Club,C/- Phillip McGinnes,PO Box 6127,HAWTHORN WEST,VIC,3122,,Liberal Party of Australia (Victorian Division),3,76440,0,0,0
2015-16,"Textile Clothing and Footwear Union of Aust - NSW, TAS, SA Br",Level 3,540 Elizabeth Street,MELBOURNE,VIC,3000,,Australian Labor Party (N.S.W. Branch); Australian Labor Party (South Australian Branch); Australian Labor Party (Tasmanian Branch),1383653,1398033,79822,0,0
2015-16,"Textiles, Clothing & Footwear Union (Vic & Qld & WA) Branch",Level 3,540 Elizabeth St,MELBOURNE,VIC,3000,,Australian Labor Party (Victorian Branch),2343183,1751610,1273333,0,0
2015-16,The 500 Club (WA),PO Box Z5303,St Georges Terrace,PERTH,WA,6831,,Liberal Party (W.A. Division) Inc.,586992,619596,31580,0,0
2015-16,The Australian Workers' Union - Greater NSW Branch,PO Box 20,,GRANVILLE,NSW,2142,,Australian Labor Party (N.S.W. Branch),5674255,5406357,915512,0,0
2015-16,The Australian Workers Union - Newcastle Central Coast & Northern Regions Branch,PO Box 226,,MAYFIELD,NSW,2304,,Australian Labor Party (N.S.W. Branch),2276628,2095536,1029620,0,0
2015-16,The Australian Workers' Union of Employees Queensland,GPO Box 88,,BRISBANE,QLD,4001,,Australian Labor Party (State of Queensland),24625374,17998450,1499674,0,0
2015-16,The Australian Workers' Union Victorian Branch,685 Spencer Street,,WEST MELBOURNE,VIC,3003,,Australian Labor Party (Victorian Branch),8567024,9064569,601116,0,0
2015-16,The Breweries & Bottleyards Employees' Industrial Union of Workers of Western Australia,PO Box 1455,,CANNING VALE ,WA,6970,,Australian Labor Party (Western Australian Branch),228911,424800,2186,0,0
2015-16,The Chifley Research Centre Ltd,PO Box 6222,,KINGSTON,ACT,2604,,Australian Labor Party (ALP),417556,412334,3055,0,0
2015-16,The Federation of Hunting Clubs Inc,PO Box 376,,BAULKHAM HILLS,NSW,1755,,"Shooters, Fishers and Farmers Party",52297,38816,4812,0,0
2015-16,The Food Preservers' Union of Western Australia Union of Workers,"5th Floor,",25 Barrack Street,PERTH,WA,6000,,Australian Labor Party (Western Australian Branch),63769,61418,18650,0,0
2015-16,The Free Enterprise Foundation,PO Box 292,,CANBERRA,ACT,2601,,Liberal Party of Australia; National Party of Australia,100000,3,0,0,0
2015-16,The Geelong 500 Club Inc,PO Box 266,,Geelong,VIC,3220,,Liberal Party of Australia (Victorian Division); National Party of Australia - Victoria; Liberal Party of Australia,54233,42978,0,0,0
2015-16,The Green Institute Limited,GPO Box 557,,CANBERRA,ACT,2601,,Australian Greens,454419,161569,3693,0,0
2015-16,The Greenfields Foundation,PO Box 52,,DEAKIN WEST,ACT,2600,,Liberal Party of Australia,100006,104941,0,0,0
2015-16,The Lady Wilson Foundation,104 Greenhill Road,,UNLEY,SA,5061,,Liberal Party of Australia (S.A. Division),5916,60,0,0,0
2015-16,The Liberal Foundation Inc,GPO Box 20,,Adelaide,SA,5001,,Liberal Party of Australia (S.A. Division),68745,94273,0,0,0
2015-16,The Liberal Party of Western Australia Pty Ltd,PO Box 49,,WEST PERTH,WA,6872,,Liberal Party (W.A. Division) Inc.,358637,341095,23227,0,0
2015-16,The Menzies Research Centre Limited,PO Box 6091,,KINGSTON,ACT,2604,,Liberal Party of Australia,833725,939089,39367,0,0
2015-16,The Monash Club,PO Box 2688,,MOUNT WAVERLEY,VIC,3149,,Liberal Party of Australia (Victorian Division),24996,28460,0,0,0
2015-16,The Nepean Club,P.O. Box 159,,SORRENTO,VIC,3943,,Liberal Party of Australia (Victorian Division),4213,2225,0,0,0
2015-16,The Page Research Centre Ltd,PO Box 6190,,KINGSTON,ACT,2604,,National Party of Australia,92164,81285,7122,0,0
2015-16,The Sapphire Club,PO Box 250,,SHEPPARTON,VIC,3632,,Liberal Party of Australia (Victorian Division),41591,33770,0,0,0
2015-16,The Sydney Small Business Club (The Warringah Club),PO Box 1387,,MONA VALE,NSW,1660,The Sydney Small Business Club,Liberal Party of Australia,2900,17468,0,0,0
2015-16,The United Professional Firefighters Union of Western Australia,21 View Street,,NORTH PERTH,WA,6006,,Australian Labor Party (Western Australian Branch),1500139,1338875,62703,0,0
2015-16,The Violet Bobin Trust,28 McCarthy Drive,,CRAIGNISH,QLD,4650,,Australian Labor Party (State of Queensland),19758,4388,0,0,0
2015-16,Transport Workers Union  VIC/TAS Branch,PO Box 203,,PORT MELBOURNE,VIC,3207,,Australian Labor Party (Tasmanian Branch); Australian Labor Party (Victorian Branch),7352360,6670353,666884,0,0
2015-16,Transport Workers Union (WA Branch),PO Box 191,,WELSHPOOL DC,WA,6986,,Australian Labor Party (Western Australian Branch),4738301,5192755,37366,0,0
2015-16,Transport Workers Union of Australia - NSW Branch,PO Box 54,,MOUNT DRUITT,NSW,2770,,Australian Labor Party (ACT Branch),2212852,2136103,342678,0,0
2015-16,Transport Workers Union of Australia Queensland Branch,PO Box 452,,CANNON HILL,QLD,4170,,Australian Labor Party (State of Queensland),6330847,6729515,1047147,0,0
2015-16,Transport Workers Union of Australia SA/NT Branch,PO Box 137,,WELLAND,SA,5007,,Australian Labor Party (South Australian Branch); Australian Labor Party (Northern Territory) Branch,3856647,2189780,63534,0,0
2015-16,Transport Workers Union of New South Wales,PO Box 54,,MINCHINBURY,NSW,2770,,Australian Labor Party (N.S.W. Branch),12724794,16008460,2705903,0,0
2015-16,United Firefighters Union of Australia Qld Branch,410 Brunswick Street,,FITZROY,VIC,3065,,Australian Labor Party (State of Queensland),313489,253849,0,0,0
2015-16,United Firefighters Union of Australia Tasmania Branch,265 Macquarie St,,HOBART,TAS,7000,,Australian Labor Party (Tasmanian Branch),324130,275422,0,0,0
2015-16,United Firefighters Union of Australia VIC,410 Brunswick Street,,FITZROY,VIC,3065,,Australian Labor Party (Victorian Branch),5477388,4134152,384606,0,0
2015-16,United Firefighters Union of SA Inc,PO Box 289,,TORRENSVILLE PLAZA,SA,5031,,Australian Labor Party (South Australian Branch),876728,1064283,22811,0,0
2015-16,United Workers Union,Locked Bag 9,,HAYMARKET,NSW,1240,United Voice Tasmanian Branch ; UNITED VOICE NT BRANCH; UNITED VOICE WA BRANCH; UNITED VOICE QLD BRANCH; UNITED VOICE VIC BRANCH; United Voice South Australia Branch; United Voice ACT Branch ; UNITED VOICE NSW BRANCH ,Australian Labor Party (N.S.W. Branch); Australian Labor Party (South Australian Branch); Australian Labor Party (Tasmanian Branch); Australian Labor Party (State of Queensland); Australian Labor Party (Western Australian Branch); Australian Labor Party (Victorian Branch); Australian Labor Party (ACT Branch); Australian Labor Party (Northern Territory) Branch,73194296,68699201,3393678,0,0
2015-16,Vapold Pty Ltd,Level 12,257 Collins Street,MELBOURNE,VIC,3000,,Liberal Party of Australia (Victorian Division),762064,896273,96782,0,0
2015-16,Western Australian Prison Officers' Union of Workers,63 Railway Parade,,MT LAWLEY,WA,6050,,Australian Labor Party (Western Australian Branch),2310424,2387337,133801,0,0
2015-16,YLNP No. 1 Ltd (James Killen Foundation),235 Sandgate Road,,ALBION,QLD,4010,,Liberal National Party of Queensland,0,2206,0,0,0
2015-16,Young Liberal Movement of Australia Trust Fund,C/- Brendan Hookway,PO Box 231,UNLEY,SA,5061,,Liberal Party of Australia,0,0,0,0,0
2014-15,1973 Foundation Pty Ltd,GPO Box 1319,,CANBERRA,ACT,2601,,Australian Labor Party (ACT Branch),589799,366268,26652,0,0
2014-15,ALP Holdings Pty Ltd as Trustee of the ALP Investment Trust,141 Gilles Street,,ADELAIDE,SA,5000,,Australian Labor Party (South Australian Branch),182824,172653,1275157,0,0
2014-15,Altum Pty Ltd as Trustee for Altum Property Unit Trust,PO Box 940,,SPRING HILL,QLD,4004,,Liberal National Party of Queensland,972532,1175443,10752920,0,0
2014-15,Altum Pty Ltd as Trustee for the Altum Head Quarters Trust,PO Box 940,,SPRING HILL,QLD,4004,,Liberal National Party of Queensland,100,94,331989,0,0
2014-15,ASU - NSW Local Government Clerical Administrative Energy Airlines & Utilities Branch,"Level 7, 321 Pitt Street",,SYDNEY,NSW,2000,,Australian Labor Party (N.S.W. Branch),1132555,909860,12145,0,0
2014-15,ASU Victorian Private Sector Branch,PO Box 447,,CARLTON SOUTH,VIC,3053,,Australian Labor Party (Victorian Branch),2263718,2262643,185951,0,0
2014-15,Australasian Meat Industry Employees Union - Newcastle & Northern Branch,PO Box 2263,,DANGAR,NSW,2309,,Australian Labor Party (N.S.W. Branch),1292118,1085896,109285,0,0
2014-15,Australasian Meat Industry Employees' Union - NSW Branch,62 Prospect Street,,ROSEHILL,NSW,2142,,Australian Labor Party (N.S.W. Branch),1463639,1386916,71535,0,0
2014-15,Australasian Meat Industry Employees' Union - QLD Branch,Level 1,39 Lytton Road,EAST BRISBANE,QLD,4169,,Australian Labor Party (State of Queensland),2255672,2439596,0,0,0
2014-15,Australasian Meat Industry Employees Union (Tasmanian Branch),PO Box 649,,KINGS MEADOWS,TAS,7249,,Australian Labor Party (Tasmanian Branch),194739,156162,0,0,0
2014-15,Australasian Meat Industry Employees Union SA & WA Branch,227 Henley Beach Road,,TORRENSVILLE,SA,5031,,Australian Labor Party (South Australian Branch); Australian Labor Party (Western Australian Branch),801605,827434,0,0,0
2014-15,Australasian Meat Industry Employees Union Victorian Branch,"Level 2, 62 Lygon Street",,CARLTON,VIC,3053,,Australian Labor Party (Victorian Branch),1707867,1332108,380381,0,0
2014-15,Australian Labor Party (Legacies and Gifts) Ltd,PO Box 6222,,KINGSTON,ACT,2604,,Australian Labor Party (ALP),0,0,0,0,0
2014-15,Australian Labor Party (NSW) Gifts Pty Ltd,PO Box K408,,HAYMARKET,NSW,1240,,Australian Labor Party (N.S.W. Branch),0,0,0,0,0
2014-15,Australian Municipal Administrative Clerical & Services Union - Queensland Together Branch,PO Box 3272,,SOUTH BRISBANE,QLD,4101,,Australian Labor Party (State of Queensland),3667471,4379666,319057,0,0
2014-15,"Australian Municipal, Administrative, Clerical and Services Union - Queensland (Services and Northern Administrative) Branch",PO Box 3347,,SOUTH BRISBANE,QLD,4101,,Australian Labor Party (State of Queensland),7183405,5734159,190477,0,0
2014-15,Australian Rail Tram & Bus Industry Union SA/NT,PO Box 195,,WOODVILLE,SA,5011,,Australian Labor Party (South Australian Branch),755288,660561,26446,0,0
2014-15,"Australian Rail Tram & Bus Industry Union, Queensland Branch",Level 1,457 Upper Edward Street,BRISBANE,QLD,4000,,Australian Labor Party (State of Queensland),3151832,3652259,287284,0,0
2014-15,Australian Rail Tram & Bus Union (Victorian Branch),Level 2,365 Queen St,MELBOURNE,VIC,3000,,Australian Labor Party (Victorian Branch),5132810,5379980,215444,0,0
2014-15,Australian Rail Tram and Bus Industry Union New South Wales Branch,"Level 4, 321 Pitt Street",,SYDNEY,NSW,2000,,Australian Labor Party (N.S.W. Branch),8715763,7116120,376587,0,0
2014-15,Australian Rail Tram and Bus Industry Union Western Australian Branch,2/10 Nash Street,,PERTH,WA,6000,,Australian Labor Party (Western Australian Branch),1097883,1175374,46189,0,0
2014-15,"Australian Rail,Tram & Bus Industry - TAS Branch",PO Box 682,,MOONAH,TAS,7009,,Australian Labor Party (Tasmanian Branch),135044,140957,0,0,0
2014-15,Australian Services Union - Victorian & Tasmanian Authorities & Services Branch,PO Box 37,,CARLTON SOUTH,VIC,3053,,Australian Labor Party (Tasmanian Branch); Australian Labor Party (Victorian Branch),12999850,12926955,2328958,0,0
2014-15,Australian Services Union of NSW & ACT (Services) Branch,PO Box 1865,,STRAWBERRY HILLS,NSW,2012,,Australian Labor Party (N.S.W. Branch); Australian Labor Party (ACT Branch),5391296,5438515,930986,0,0
2014-15,Australian Services Union SA - NT Branch,PO Box 2217,,KENT TOWN,SA,5071,,Australian Labor Party (South Australian Branch); Australian Labor Party (Northern Territory) Branch,3398806,3598255,307974,0,0
2014-15,Australian Workers Union SA Branch,GPO Box 2577,,ADELAIDE,SA,5001,,Australian Labor Party (South Australian Branch),3007362,2730021,0,0,0
2014-15,Australian Workers Union WA Branch,PO Box 8122,Perth Business Centre,PERTH,WA,6849,,Australian Labor Party (Western Australian Branch),4031850,3985308,678173,0,0
2014-15,Automotive Food Metals Engineering Printing & Kindred Ind. Union,PO Box 160,,GRANVILLE,NSW,2142,AFMEPKIU NATIONAL COUNCIL; AFMEPKIU NSW STATE COUNCIL; AFMEPKIU VICTORIA STATE COUNCIL; AFMEPKIU QUEENSLAND STATE COUNCIL; AFMEPKIU SOUTH AUSTRALIA STATE COUNCIL; AFMEPKIU WESTERN AUSTRALIA STATE COUNCIL; AFMEPKIU TASMANIA STATE COUNCIL,Australian Labor Party (ALP); Australian Labor Party (ACT Branch); Australian Labor Party (N.S.W. Branch); Australian Labor Party (Northern Territory) Branch; Australian Labor Party (South Australian Branch); Australian Labor Party (State of Queensland); Australian Labor Party (Tasmanian Branch); Australian Labor Party (Victorian Branch); Australian Labor Party (Western Australian Branch),60200039,51121789,977004,0,0
2014-15,AWU - Australian Workers Union (Tasmanian Branch),P O Box 489,,GLENORCHY,TAS,7010,,Australian Labor Party (Tasmanian Branch),1441776,1214286,70158,0,0
2014-15,AWU Port Kembla Branch,PO Box 1506,,WOLLONGONG,NSW,2500,,Australian Labor Party (N.S.W. Branch),1482830,1384688,61642,0,0
2014-15,Bass 200 Club,PO Box 431,,WONTHAGGI,VIC,3995,,Liberal Party of Australia (Victorian Division),43655,66690,0,0,0
2014-15,Bayside Forum,55 Marne Street,,SOUTH YARRA,VIC,3141,,Liberal Party of Australia (Victorian Division),156209,36893,869,0,0
2014-15,Bendigo 250 Club,PO Box 364,,STRAHDALE,VIC,3550,,Liberal Party of Australia (Victorian Division),32985,33714,0,0,0
2014-15,Berwick Ranges 500 Club,PO Box 145,,BERWICK,VIC,3806,,Liberal Party of Australia (Victorian Division),53268,98224,0,0,0
2014-15,Blind Workers Union of Victoria,106 Seymour Street,,SOLDIERS HILL,VIC,3350,,Australian Labor Party (Victorian Branch),0,19126,0,0,0
2014-15,Bunori Pty Limited,Locked Bag 2,,KINGS CROSS,NSW,1340,,"Liberal Party of Australia, NSW Division",3632716,3633728,1887854,0,0
2014-15,Business First,PO Box 35,,CHELSEA,VIC,3196,,Liberal Party of Australia (Victorian Division),0,0,0,0,0
2014-15,Campaign for Australian Constitutional Change,PO Box 843,,CASTLE HILL,NSW,1765,,Republican Party of Australia,100,0,0,0,0
2014-15,Canberra Labor Club Limited,PO Box 167,,Belconnen,ACT,2617,2.200 Nominees Pty Ltd,Australian Labor Party (ACT Branch),58517800,56592467,11571997,0,0
2014-15,Caulfield Challenge 200 Club,Suite 9ABC Level 9,443-449 Toorak Road ,TOORAK,VIC,3142,,Liberal Party of Australia (Victorian Division),65666,148456,0,0,0
2014-15,CEC Australia (Services) Pty Ltd,PO Box 376,,COBURG,VIC,3058,,Citizens Electoral Council of Australia,2466901,2437251,1418229,0,0
2014-15,CEPU - Electrical Division QLD & NT ,PO Box 3520,,SOUTH BRISBANE,QLD,4101,,Australian Labor Party (State of Queensland); Australian Labor Party (Northern Territory) Branch,9404292,8296581,2841764,0,0
2014-15,CEPU (T&S) NSW Branch,PO Box A1135,,SYDNEY SOUTH,NSW,2000,,Australian Labor Party (N.S.W. Branch),590738,665422,12796,0,0
2014-15,CEPU Communications Division - WA,PO Box 8354,,PERTH BC,WA,6849,,Australian Labor Party (Western Australian Branch),846036,1401589,0,0,0
2014-15,CEPU Communications Division (CWU QLD Branch),PO Box 3203,,WEST END,QLD,4101,,Australian Labor Party (State of Queensland),1506934,1598919,132427,0,0
2014-15,CEPU Communications Division SA/NT Branch,312 South Road,,RICHMOND,SA,5033,,Australian Labor Party (South Australian Branch); Australian Labor Party (Northern Territory) Branch,5092787,1193624,431944,0,0
2014-15,"CEPU Electrical, Energy & Services Division - SA","Level 1, 87 St Vincent Street",,PORT ADELAIDE,SA,5015,,Australian Labor Party (South Australian Branch),2246285,2278269,0,0,0
2014-15,CEPU Engineering & Electrical Division WA Branch,PO Box 689,,BALCATTA,WA,6914,,Australian Labor Party (Western Australian Branch),4060585,4114256,123127,0,0
2014-15,CEPU P & T Victorian Branch,PO Box 14,,BRUNSWICK WEST,VIC,3055,,Australian Labor Party (Victorian Branch),1804177,1283509,180056,0,0
2014-15,CEPU Plumbing Division - NSW (CEPU of Australia NSW Branch),"Shop 1, 111 McEvoy Street",,ALEXANDRIA,NSW,2015,,Australian Labor Party (N.S.W. Branch),1500653,1357830,698823,0,0
2014-15,CEPU Plumbing Division Queensland Branch,PO Box 3596,,SOUTH BRISBANE,QLD,4101,,Australian Labor Party (State of Queensland),4544810,3719806,499084,0,0
2014-15,CEPU Plumbing Division Victoria,52 Victoria Street,,CARLTON SOUTH,VIC,3053,,Australian Labor Party (Victorian Branch),7756694,6478198,960384,0,0
