Financial Year,Name,Address Line 1,Address Line 2,Suburb,State,Postcode,Lodged on behalf of,Associated Party,Total Receipts,Total Payments,Total Debts,Discretionary Benefits,Capital Contributions
2009-2010,Aust Building Const Employees & Builders Labour Fed (QLD Br),16 Campbell Street,,BOWEN HILLS,QLD,4006,,Australian Labor Party (ALP),3518103,5102896,190736,0,0
2009-2010,Australasian Meat Industry Employees Union - Federal Council,Level 1,39 Lytton Road,EAST BRISBANE,QLD,4169,,Australian Labor Party (ALP),321453,321005,0,0,0
2009-2010,Australasian Meat Industry Employees Union - Newcastle & Northern Branch,PO Box 2263,,DANGAR,NSW,2309,,Australian Labor Party (N.S.W. Branch),916400,805743,34023,0,0
2009-2010,Australasian Meat Industry Employees' Union - NSW Branch,62 Prospect Street,,ROSEHILL,NSW,2142,,Australian Labor Party (N.S.W. Branch),1270684,1029655,76979,0,0
2009-2010,Australasian Meat Industry Employees' Union - QLD Branch,Level 1,39 Lytton Road,EAST BRISBANE,QLD,4169,,Australian Labor Party (State of Queensland),2466812,2203495,0,0,0
2009-2010,Australasian Meat Industry Employees Union (Tasmanian Branch),PO Box 649,,KINGS MEADOWS,TAS,7249,AMIEU Tas Branch,Australian Labor Party (Tasmanian Branch),228884,234831,108974,0,0
2009-2010,Australasian Meat Industry Employees Union SA & WA Branch,227 Henley Beach Road,,TORRENSVILLE,SA,5031,,Australian Labor Party (South Australian Branch),30000,1810,0,0,0
2009-2010,Australasian Meat Industry Employees Union Victorian Branch,"Level 2, 62 Lygon Street",,CARLTON,VIC,3053,,Australian Labor Party (Victorian Branch),1404112,1374111,500519,0,0
2009-2010,Australian Federated Union of Locomotive Employees,41 Peel Street,,SOUTH BRISBANE,QLD,4101,,Australian Labor Party (ALP),719254,726809,0,0,0
2009-2010,Australian Institute of Marine and Power Engineers,52 Buckingham Street,,SURRY HILLS,NSW,2010,AIMPE Sydney Branch; AIMPE Victoria/Tasmania Branch; AIMPE Newcastle Branch; AIMPE Western Australian Branch; AIMPE South Australia Branch; AIMPE Queensland Branch; AIMPE North Territory Sub Branch,Australian Labor Party (ALP),2202534,1903732,0,0,0
2009-2010,Australian Labor Party - Holdings Pty Ltd,141 Gilles Street,,ADELAIDE,SA,5000,,Australian Labor Party (South Australian Branch),0,0,0,0,0
2009-2010,Australian Labor Party (Legacies and Gifts) Ltd,PO Box 6222,,KINGSTON,ACT,2604,,Australian Labor Party (ALP),0,0,0,0,0
2009-2010,Australian Labor Party (NSW) Gifts Pty Ltd,PO Box K408,,HAYMARKET,NSW,1240,,Australian Labor Party (N.S.W. Branch),0,0,0,0,0
2009-2010,Australian Labor Party Sisterhood,64 Brougham Street,,LAUNCESTON,TAS,7250,,Australian Labor Party (ALP),6082,6250,0,0,0
2009-2010,Australian Municipal Administrative Clerical & Services Union - Queensland Together Branch,PO Box 3272,,SOUTH BRISBANE,QLD,4101,,Australian Labor Party (State of Queensland),2826165,1885734,121846,0,0
2009-2010,"Australian Municipal, Administrative, Clerical and Services Union - Queensland (Services and Northern Administrative) Branch",PO Box 3347,,SOUTH BRISBANE,QLD,4101,,Australian Labor Party (ALP),5460334,5224081,143852,0,0
2009-2010,Australian Rail Tram & Bus Industry Union SA/NT,PO Box 195,,WOODVILLE,SA,5011,,Australian Labor Party (South Australian Branch),806890,848498,0,0,0
2009-2010,"Australian Rail Tram & Bus Industry Union, Queensland Branch",Level 1,457 Upper Edward Street,BRISBANE,QLD,4000,,Australian Labor Party (State of Queensland),3718430,3369199,355292,0,0
2009-2010,Australian Rail Tram & Bus Union (Victorian Branch),Level 2,365 Queen St,MELBOURNE,VIC,3000,,Australian Labor Party (Victorian Branch),3357291,2519486,493500,0,0
2009-2010,Australian Rail Tram and Bus Industry Union New South Wales Branch,"Level 4, 321 Pitt Street",,SYDNEY,NSW,2000,,Australian Labor Party (ALP),9296216,11160218,432126,0,0
2009-2010,Australian Rail Tram and Bus Industry Union Western Australian Branch,2/10 Nash Street,,PERTH,WA,6000,,Australian Labor Party (Western Australian Branch),677542,619688,12729,0,0
2009-2010,"Australian Rail,Tram & Bus Industry - TAS Branch",PO Box 682,,MOONAH,TAS,7009,,Australian Labor Party (Tasmanian Branch),97927,30889,0,0,0
2009-2010,Australian Services Union - Tasmania,265 Macquarie Street,,HOBART,TAS,7000,,Australian Labor Party (ALP),701309,699969,194015,0,0
2009-2010,Australian Services Union - Victorian & Tasmanian Authorities & Services Branch,PO Box 37,,CARLTON SOUTH,VIC,3053,,Australian Labor Party (ALP),8539300,8207526,2089062,0,0
2009-2010,Australian Services Union NQ Clerical & Admin Branch,PO Box 135,,TOWNSVILLE,QLD,4810,,Australian Labor Party (State of Queensland),264978,245494,71480,0,0
2009-2010,Australian Services Union of NSW & ACT (Services) Branch,PO Box 1865,,STRAWBERRY HILLS,NSW,2012,,Australian Labor Party (N.S.W. Branch),4201836,4291117,717081,0,0
2009-2010,Australian Services Union SA - NT Branch,PO Box 2217,,KENT TOWN,SA,5071,Australian Services Union SA-NT Branch,Australian Labor Party (South Australian Branch),3060712,3139645,50080,0,0
2009-2010,Australian Workers Union - National Office,"L10, 377-383 Sussex Street",,SYDNEY,NSW,2000,,Australian Labor Party (N.S.W. Branch),5539872,4365213,190237,0,0
2009-2010,Australian Workers Union SA Branch,GPO Box 2577,,ADELAIDE,SA,5001,,Australian Labor Party (ALP),2680652,2583611,0,0,0
2009-2010,Australian Workers Union WA Branch,PO Box 8122,Perth Business Centre,PERTH,WA,6849,,Australian Labor Party (Western Australian Branch),3104541,3232652,480810,0,0
2009-2010,Automotive Food Metals Engineering Printing & Kindred Ind. Union,PO Box 160,,GRANVILLE,NSW,2142,AFMEPKIU NATIONAL COUNCIL; AFMEPKIU NSW STATE COUNCIL; AFMEPKIU VICTORIA STATE COUNCIL; AFMEPKIU QUEENSLAND STATE COUNCIL; AFMEPKIU SOUTH AUSTRALIA STATE COUNCIL; AFMEPKIU WESTERN AUSTRALIA STATE COUNCIL; AFMEPKIU TASMANIA STATE COUNCIL,Australian Labor Party (ALP),55959362,50812465,1024899,0,0
