"Financial Year","ClientFileId","Name","ABN","ACN","Address Line 1","Address Line 2","Suburb","State","Postcode","Lodged on behalf of","Total Expenditure","1*","2*","3*","4*","5*","Total Gifts Received"
"2017-18","36451","Business Council of Australia","75 008 483 216","008 483 216","Level 42, 120 Collins Street","","MELBOURNE","VIC","3000","","1743947","16500","694383","832686","0","200378","0"
"2017-18","37940","Catholic Education Melbourne","85176448204","","James Goold House","228 Victoria Parade","EAST MELBOURNE","VIC","3002","","20054","0","20054","0","0","0","0"
"2017-18","19975","CFMEU - Construction & General Division (WA Branch)","77538246780","","PO Box 8075","","PERTH BC","WA","6849","","200051","200051","0","0","0","0","0"
"2017-18","21541","Community and Public Sector Union (PSU Group)","30987910747","","Level 7 191-199 Thomas Street","","HAYMARKET","NSW","2000","","25747","9545","2329","500","2271","11102","0"
"2017-18","16488","Community and Public Sector Union CPSU (SPSF Group)","","","PO Box 18090","Collins Street East","MELBOURNE","VIC","8003","","150000","0","0","0","0","150000","0"
"2017-18","29749","Council of Mayors (SEQ) Pty Ltd","87141329302","141 329 302","PO Box 12995","","GEORGE STREET","QLD","4003","","0","0","0","0","0","0","0"
"2017-18","14306","Dick Smith","16015899381","","PO Box 418","","TERREY HILLS","NSW","2084","","1375881","0","1375881","0","0","0","0"
"2017-18","38072","Dragoman Pty Ltd","76 619 209 915","","PO Box 18384","Collins Street East","MELBOURNE","VIC","8003","","25000","0","0","0","0","25000","0"
"2017-18","18756","Electrical Trades Union of Australia NSW Branch","24 379 005 569","","Level 5/370 Pitt Street","","SYDNEY","NSW","2000","","76235","0","75235","1000","0","0","0"
"2017-18","36517","Environment Victoria","84495053605","","Level 2 60 Leicester St","","CARLTON","VIC","3053","","58700","0","0","0","8800","49900","0"
"2017-18","38641","Farmers for Climate Action","56617941376 ","617 941 376","2796 Crookwell Rd","","Crookwell","NSW","2583","","58566","0","0","58566","0","0","34588"
"2017-18","30343","GetUp Limited","99114027986","114 027 986","Level 1, 64-76 Kippax Street","","SURRY HILLS","NSW","2010","","742596","145421","422738","49888","111706","12843","207630"
"2017-18","38532","Green Music Australia","27156610525","156 610 525","79 Coolamon Rd","","TAROONA","TAS","7053","","6100","0","0","0","0","6100","0"
"2017-18","30315","Greenpeace Australia Pacific Limited","61 002 643 852","002 643 852","Level 2","33 Mountain Street","ULTIMO","NSW","2007","","105690","3397","32348","28045","30000","11900","0"
"2017-18","22730","Health Services Union - National Office","68 243 768 561","","Suite 46, 255 Drummond Street","","CARLTON","VIC","3053","","0","0","0","0","0","0","0"
"2017-18","7631","Health Services Union, Victoria No. 3 Branch (VAHPA)","38106461384","","351 William St","","WEST MELBOURNE","VIC","3003","","0","0","0","0","0","0","0"
"2017-18","32561","Industry Super Australia","72 158 563 270","158 563 270","Level 39, 2 Lonsdale Street","","MELBOURNE","VIC","3000","","1432651","0","0","1432651","0","0","0"
"2017-18","37151","LET Australia Ltd","90123147240","123 147 240","PO Box 10944","","BRISBANE","QLD","4000","","3932719","0","604782","3145981","0","181956","0"
"2017-18","23060","Master Builders Australia Ltd","68137130182","137130182","PO Box 7170","","YARRALUMLA","ACT","2600","","66860","0","66860","0","0","0","0"
"2017-18","27919","Minerals Council of Australia","21 191 309 229","008 455 141","PO Box 4497","","KINGSTON","ACT","2604","","1274162","0","388027","886135","0","0","0"
"2017-18","33260","National Tertiary Education Union (NTEU)","38579396344","","PO Box 1323","","SOUTH MELBOURNE","VIC","3205","","50000","0","0","0","0","50000","0"
"2017-18","20597","National Union of Workers","","","PO Box 343","","NORTH MELBOURNE","VIC","3051","","0","0","0","0","0","0","0"
"2017-18","19171","National Union of Workers - National Office","","","PO Box 343","","NORTH MELBOURNE","VIC","3051","","0","0","0","0","0","0","0"
"2017-18","20511","New South Wales Nurses and Midwives' Association","63 398 164 405","","50 O'Dea Avenue","","WATERLOO","NSW","2017","","61554","0","5666","15125","0","40763","0"
"2017-18","220","Queensland Nurses and Midwives' Union","","","106 Victoria Street","","WEST END","QLD","4101","","384247","10359","0","76338","0","297550","0"
"2017-18","20649","Queensland Teachers Union of Employees","62408519861","","PO Box 1750","","MILTON","QLD","4064","","144505","0","52212","0","0","92293","0"
"2017-18","40431","RSPCA Australia","99668654249","","PO Box 265","","DEAKIN","ACT","2600","","26271","0","0","0","2700","23571","0"
"2017-18","18784","Shop Assistants & Warehouse Employees' Federation of Australia-Newcastle & Northern NSW","75 536 906 383","","PO Box 2211","","DANGAR","NSW","2309","","0","0","0","0","0","0","0"
"2017-18","18824","Shop Distributive & Allied Employees' Association NSW Branch","74 415 123 375","","PO Box K230","","HAYMARKET","NSW","1240","","0","0","0","0","0","0","0"
"2017-18","20031","Shop Distributive & Allied Employees' Association of Western Australia","73 291 187 274","","5th Floor, 25 Barrack Street","","PERTH","WA","6000","","0","0","0","0","0","0","0"
"2017-18","36762","Smart Energy Council (previously Australian Solar Council)","32006824148","","34 Anderson Street","","CHIFLEY","ACT","2606","","34773","26280","8493","0","0","0","0"
"2017-18","38538","St Vincent de Paul Society National Council of Australia","50748098845","","PO Box 243","","DEAKIN WEST","ACT","2600","","50210","0","0","0","0","50210","0"
"2017-18","38549","The Minderoo Foundation Pty Ltd atf The Minderoo Foundation Trust","","","PO Box 3155","","BROADWAY NEDLANDS","WA","6009","","973194","0","0","796049","177145","0","402000000"
"2017-18","36747","The Oaktree Foundation Australia","39129680584","129 680 584","Level 3","33 Lincoln Square South","CARLTON","VIC","3053","","62818","0","0","0","0","62818","0"
"2017-18","20623","The Wilderness Society Limited","18 611 229 086","611 229 086","132 Davey Street","","HOBART","TAS","7000","","8338","0","8338","0","0","0","0"
"2017-18","19902","Transport Workers Union of New South Wales","77710588395","","PO Box 54","","MINCHINBURY","NSW","2770","","0","0","0","0","0","0","0"
"2017-18","20161","Unions NSW","43 132 138 531","","Level 3 4-10 Goulburn Street","","SYDNEY","NSW","2000","","0","0","0","0","0","0","0"
"2017-18","18834","United Workers Union","52728088684","","Locked Bag 9","","HAYMARKET","NSW","1240","","167618","39143","52101","47179","0","29195","0"
"2017-18","30428","Universities Australia","53 008 502 930","008 502 930","GPO Box 1142","","DEAKIN","ACT","2601","","310342","0","172630","0","137712","0","0"
"2017-18","29215","World Wide Fund for Nature Australia","57001594074","001 594 074","GPO Box 528","","SYDNEY","NSW","2001","","0","0","0","0","0","0","0"
"2016-17","33017","AEU NSW Teachers Federation","86600150697","","Locked Bag 3010","","DARLINGHURST","NSW","1300","","516512","341643","45730","69565","0","59574","0"
"2016-17","19364","Australian Council of Trade Unions","67175982800","","Level 6, 365 Queen Street","","MELBOURNE","VIC","3000","","888941","7430","249030","156920","298916","176645","4690753"
"2016-17","30314","Australian Education Union ","16006296647","","120 Clarendon Street","","SOUTHBANK","VIC","3006","","894372","150592","215575","358122","92950","77133","0"
"2016-17","33002","Australian Education Union Victorian Branch","44 673 398 674","","PO Box 363","","ABBOTSFORD","VIC","3067","","371934","0","87014","0","0","284920","0"
"2016-17","28918","Australian Municipal Administrative Clerical and Services Union ","28519971998","","Ground Floor 116 Queensberry Street","","CARLTON SOUTH","VIC","3053","","0","0","0","0","0","0","0"
"2016-17","18736","Australian Rail Tram and Bus Industry Union New South Wales Branch","55 090 785 801","","Level 4, 321 Pitt Street","","SYDNEY","NSW","2000","","0","0","0","0","0","0","0"
"2016-17","19861","Australian Workers Union WA Branch","23 613 523 164","","PO Box 8122","Perth Business Centre","PERTH","WA","6849","","0","0","0","0","0","0","0"
"2016-17","19806","Automotive Food Metals Engineering Printing & Kindred Ind. Union","59459725116","","PO Box 160","","GRANVILLE","NSW","2142","","264908","0","264908","0","0","0","0"
"2016-17","36451","Business Council of Australia","75 008 483 216","008 483 216","Level 42, 120 Collins Street","","MELBOURNE","VIC","3000","","148199","0","0","148199","0","0","0"
"2016-17","19975","CFMEU - Construction & General Division (WA Branch)","77538246780","","PO Box 8075","","PERTH BC","WA","6849","","217500","217500","0","0","0","0","0"
"2016-17","29749","Council of Mayors (SEQ) Pty Ltd","87141329302","141 329 302","PO Box 12995","","GEORGE STREET","QLD","4003","","0","0","0","0","0","0","0"
"2016-17","36517","Environment Victoria","84495053605","","Level 2 60 Leicester St","","CARLTON","VIC","3053","","23981","17028","0","6953","0","0","0"
"2016-17","37695","Fair Agenda Ltd","99 166 475 903","166 475 903","c/o The Commons","36-38 Gipps Street","Collingwood","VIC","3066","","27317","0","9370","0","0","17947","0"
"2016-17","30343","GetUp Limited","99114027986","114 027 986","Level 1, 64-76 Kippax Street","","SURRY HILLS","NSW","2010","","821093","669172","0","73601","78320","0","217418"
"2016-17","30315","Greenpeace Australia Pacific Limited","61 002 643 852","002 643 852","Level 2","33 Mountain Street","ULTIMO","NSW","2007","","17156","13825","0","0","0","3331","0"
"2016-17","32561","Industry Super Australia","72 158 563 270","158 563 270","Level 39, 2 Lonsdale Street","","MELBOURNE","VIC","3000","","244350","0","0","244350","0","0","0"
"2016-17","37151","LET Australia Ltd","90123147240","123 147 240","PO Box 10944","","BRISBANE","QLD","4000","","3584115","0","282973","2836953","0","464189","0"
"2016-17","23060","Master Builders Australia Ltd","68137130182","137130182","PO Box 7170","","YARRALUMLA","ACT","2600","","50000","0","21000","29000","0","0","0"
"2016-17","27919","Minerals Council of Australia","21 191 309 229","008 455 141","PO Box 4497","","KINGSTON","ACT","2604","","1297025","0","491185","803079","0","2761","0"
"2016-17","29555","National Civic Council","19622993989","","PO Box 251","","BALWYN","VIC","3103","","25632","25632","0","0","0","0","0"
"2016-17","18764","New South Wales Local Government Clerical Administrative Energy Airlines & Utilities Union T/A United Services Union","95 571 805 442","","Level 7, 321 Pitt Street","","SYDNEY","NSW","2000","","17890","0","17890","0","0","0","0"
"2016-17","20649","Queensland Teachers Union of Employees","62408519861","","PO Box 1750","","MILTON","QLD","4064","","237523","0","0","121000","3505","113018","0"
"2016-17","37744","Save the Children Australia","99 008 610 035","","33 Lincoln Square South","","CARLTON","VIC","3053","","16280","0","0","0","16280","0","0"
"2016-17","18784","Shop Assistants & Warehouse Employees' Federation of Australia-Newcastle & Northern NSW","75 536 906 383","","PO Box 2211","","DANGAR","NSW","2309","","0","0","0","0","0","0","0"
"2016-17","18824","Shop Distributive & Allied Employees' Association NSW Branch","74 415 123 375","","PO Box K230","","HAYMARKET","NSW","1240","","0","0","0","0","0","0","0"
"2016-17","20031","Shop Distributive & Allied Employees' Association of Western Australia","73 291 187 274","","5th Floor, 25 Barrack Street","","PERTH","WA","6000","","0","0","0","0","0","0","0"
"2016-17","19898","The Food Preservers' Union of Western Australia Union of Workers","77 930 063 279","","5th Floor,","25 Barrack Street","PERTH","WA","6000","","0","0","0","0","0","0","0"
"2016-17","37389","The Sunrise Project Australia Limited","65 159 324 697","159 324 697","L2, 91 Reservoir St","","SURRY HILLS","NSW","2010","","108732","0","0","0","36960","71772","170000"
"2016-17","19902","Transport Workers Union of New South Wales","77710588395","","PO Box 54","","MINCHINBURY","NSW","2770","","15622","0","15622","0","0","0","0"
"2016-17","20161","Unions NSW","43 132 138 531","","Level 3 4-10 Goulburn Street","","SYDNEY","NSW","2000","","4974","4974","0","0","0","0","0"
"2016-17","18834","United Workers Union","52728088684","","Locked Bag 9","","HAYMARKET","NSW","1240","","425068","333987","52714","952","12000","25415","0"
"2016-17","30428","Universities Australia","53 008 502 930","008 502 930","GPO Box 1142","","DEAKIN","ACT","2601","","510934","0","260760","158344","91830","0","0"
"2016-17","34243","World Vision Australia","","","1 Vision Drive","","BURWOOD EAST","VIC","3151","","46985","0","16510","0","6500","23975","46985"
"2016-17","29215","World Wide Fund for Nature Australia","57001594074","001 594 074","GPO Box 528","","SYDNEY","NSW","2001","","34829","0","34829","0","0","0","0"
"2015-16","33017","AEU NSW Teachers Federation","86600150697","","Locked Bag 3010","","DARLINGHURST","NSW","1300","","1325695","843122","235212","141656","42075","63630","0"
"2015-16","28800","Alliance of Australian Retailers Pty Ltd","74 145 378 589","145 378 589","14 Ross Street","","NORTH PARRAMATTA","NSW","2151","","35000","0","35000","0","0","0","0"
"2015-16","18830","Australasian Meat Industry Employees' Union - QLD Branch","68929349791","","Level 1","39 Lytton Road","EAST BRISBANE","QLD","4169","","21420","21420","0","0","0","0","0"
"2015-16","30236","Australian Automobile Association","25008526369","008526369","GPO Box 1555","","CANBERRA","ACT","2601","","1161175","0","324439","777254","59482","0","0"
"2015-16","15605","Australian Christian Lobby","40 075 120 517","075 120 517","4 Campion Street","","DEAKIN","ACT","2600","","208436","0","170522","0","0","37914","123640"
"2015-16","20499","Australian Conservation Foundation Incorporated","22007498482","","Level 1,","60 Leicester Street","CARLTON","VIC","3053","","173783","0","147142","0","19200","7441","0"
"2015-16","19364","Australian Council of Trade Unions","67175982800","","Level 6, 365 Queen Street","","MELBOURNE","VIC","3000","","4702032","82738","472898","2017069","1225538","903789","4732956"
"2015-16","30314","Australian Education Union ","16006296647","","120 Clarendon Street","","SOUTHBANK","VIC","3006","","4931282","242810","680063","3062151","129227","817031","0"
"2015-16","33002","Australian Education Union Victorian Branch","44 673 398 674","","PO Box 363","","ABBOTSFORD","VIC","3067","","519038","0","270020","0","0","249018","0"
"2015-16","19885","Australian Municipal Administrative Clerical & Services Union - Queensland Together Branch","97853552816","","PO Box 3272","","SOUTH BRISBANE","QLD","4101","","36306","0","30053","0","6253","0","0"
"2015-16","28918","Australian Municipal Administrative Clerical and Services Union ","28519971998","","Ground Floor 116 Queensberry Street","","CARLTON SOUTH","VIC","3053","","336283","336283","0","0","0","0","0"
"2015-16","18736","Australian Rail Tram and Bus Industry Union New South Wales Branch","55 090 785 801","","Level 4, 321 Pitt Street","","SYDNEY","NSW","2000","","0","0","0","0","0","0","0"
"2015-16","9184","Australian Trucking Association Ltd","25055583714","","Minter Ellison Building","25 National Circuit","FORREST","ACT","2603","","97509","0","48517","0","16072","32920","0"
"2015-16","19861","Australian Workers Union WA Branch","23 613 523 164","","PO Box 8122","Perth Business Centre","PERTH","WA","6849","","34724","0","0","0","34724","0","0"
"2015-16","19806","Automotive Food Metals Engineering Printing & Kindred Ind. Union","59459725116","","PO Box 160","","GRANVILLE","NSW","2142","","159876","0","157811","0","2065","0","0"
"2015-16","36451","Business Council of Australia","75 008 483 216","008 483 216","Level 42, 120 Collins Street","","MELBOURNE","VIC","3000","","2662083","0","384244","2032543","106700","138596","220000"
"2015-16","20652","CEPU Plumbing Division Queensland Branch","51 918 867 235","","PO Box 3596","","SOUTH BRISBANE","QLD","4101","","0","0","0","0","0","0","0"
"2015-16","19975","CFMEU - Construction & General Division (WA Branch)","77538246780","","PO Box 8075","","PERTH BC","WA","6849","","199795","199795","0","0","0","0","0"
"2015-16","14311","CFMEU - Construction & General Division, National Office","46243168565","","PO Box Q235","QVB Post Office","SYDNEY","NSW","1230","","45352","0","12676","32676","0","0","0"
"2015-16","21541","Community and Public Sector Union (PSU Group)","30987910747","","Level 7 191-199 Thomas Street","","HAYMARKET","NSW","2000","","127570","12549","86046","0","8384","20591","0"
"2015-16","19956","Construction Forestry Maritime Mining & Energy Union The Construction & General Division ACT Divisional Branch","38 491 952 173","","PO Box 498","","DICKSON","ACT","2602","","55104","0","20656","0","0","34448","0"
"2015-16","19986","Construction Forestry Mining & Energy, Industrial Union of Employees, Queensland - Construction and General Division","","","16 Campbell Street","","BOWEN HILLS","QLD","4006","","13825","11922","1903","0","0","0","0"
