"Financial Year","Name","Address Line 1","Address Line 2","Suburb","State","Postcode","Party Group","Total Receipts","Total Payments","Total Debts","Total Discretionary Benefits"
"2015-16","Drug Law Reform Australia","4/22 Narong Road","","CAULFIELD NORTH","VIC","3161","","39435","29896","0","0"
"2015-16","Family First Party","PO Box 145","","HIGHBURY","SA","5089","Family First","187489","152458","0","0"
"2015-16","Family First Party - QLD","11 Myal Ct","","MANGO HILL","QLD","4509","Family First","164296","212547","54860","0"
"2015-16","Family First Party - SA","PO Box 44","","CAMPBELLTOWN","SA","5074","Family First","63095","65889","0","0"
"2015-16","Family First Party - VIC","Level 1, Suite 1","441 Canterbury Road","SURREY HILLS","VIC","3127","Family First","52366","50281","0","0"
"2015-16","Glenn Lazarus Team","PO Box 114","","MT OMMANEY","QLD","4074","","240000","40000","30000","0"
"2015-16","Health Australia Party","PO Box 695","","GISBORNE","VIC","3437","","24768","34500","11469","0"
"2015-16","Help End Marijuana Prohibition (HEMP) Party","PO Box 20177","","NIMBIN","NSW","2480","","37972","25188","0","0"
"2015-16","Jacqui Lambie Network","PO Box 264","","Burnie","TAS","7320","","121793","85215","43437","0"
"2015-16","John Madigan's Manufacturing and Farming Party","PO Box 815","","BALLARAT","VIC","3353","","80072","60140","0","0"
"2015-16","Katter's Australian Party (KAP)","PO Box 1022","","TOWNSVILLE","QLD","4810","","555412","499612","29290","0"
"2015-16","Liberal Democratic Party","Level 1","203-205 Blackburn Road","MOUNT WAVERLEY","VIC","3149","","817687","1503737","50000","0"
"2015-16","Liberal National Party of Queensland","PO Box 940","","SPRING HILL","QLD","4004","Liberal","13805476","13340982","1950654","0"
"2015-16","Liberal Party (W.A. Division) Inc","PO Box 49","","WEST PERTH","WA","6872","Liberal","7841138","5950653","873781","0"
"2015-16","Liberal Party of Australia","PO Box 6004","","KINGSTON","ACT","2604","Liberal","14710660","11638705","11952364","0"
"2015-16","Liberal Party of Australia - ACT Division","PO Box 66","","DEAKIN WEST","ACT","2600","Liberal","1165695","1026620","355528","0"
"2015-16","Liberal Party of Australia - Tasmanian Division","GPO Box 469","","HOBART","TAS","7001","Liberal","2805467","2263482","997814","0"
"2015-16","Liberal Party of Australia (S.A. Division)","GPO Box 20","","ADELAIDE","SA","5001","Liberal","4951854","2815493","318524","0"
"2015-16","Liberal Party of Australia (Victorian Division)","Level 12, 257 Collins Street","","MELBOURNE","VIC","3000","Liberal","13753758","11742858","7520361","0"
"2015-16","Liberal Party of Australia, NSW Division","Locked Bag 2","","KINGS CROSS","NSW","1340","Liberal","21129630","17949681","10489244","0"
"2015-16","Mature Australia Party","15 Palmetto Street","","PALM COVE","QLD","4879","","30115","30330","0","0"
"2015-16","National Party of Australia","PO Box 6190","","KINGSTON","ACT","2604","The Nationals","2023014","1592786","5000","0"
"2015-16","National Party of Australia - N.S.W.","GPO Box 4558","","SYDNEY","NSW","2001","The Nationals","10281537","7040373","3556539","0"
"2015-16","National Party of Australia - Victoria","Suite 908, Level 9","343 Little Collins Street","MELBOURNE","VIC","3000","The Nationals","841590","979539","135824","0"
"2015-16","National Party of Australia (S.A.) Inc.","5 Maple Court","","OAKBANK","SA","5243","The Nationals","4791","5839","0","0"
"2015-16","National Party of Australia (WA) Inc","PO Box 1418","","WEST PERTH","WA","6872","The Nationals","1319900","806181","101455","0"
"2015-16","Non-Custodial Parents Party (Equal Parenting)","PO Box 97","","DOUGLAS PARK","NSW","2569","","2501","1500","0","0"
"2015-16","Online Direct Democracy - (Empowering the People!)","70 Carrington Pde","","CURL CURL","NSW","2096","","23600","10803","110562","0"
"2015-16","Outdoor Recreation Party (Stop The Greens)","PO Box 636","","DRUMMOYNE","NSW","1470","","3","2654","0","0"
"2015-16","Palmer United Party","GPO Box 3138","","BRISBANE","QLD","4001","","2286037","2970078","1127807","0"
"2015-16","Pauline Hanson's One Nation","PO Box 136","","PINKENBA","QLD","4008","One Nation","363698","324079","190000","0"
"2015-16","Pirate Party Australia","PO Box 385","","FIGTREE","NSW","2525","","32607","38680","0","0"
"2015-16","Queensland Greens","PO Box 2335","","MILTON","QLD","4064","The Greens","1474752","1144664","773988","0"
"2015-16","Renewable Energy Party","3/23 Mitchell St","","BAIRNSDALE","VIC","3875","","13960","13960","0","0"
"2015-16","Rise Up Australia Party","PO Box 137","","HALLAM","VIC","3803","","231462","195680","25428","0"
"2015-16","Science Party","49 Harrington St","","ENMORE","NSW","2042","","60468","60036","11863","0"
"2015-16","Secular Party of Australia","PO Box 6004","","MELBOURNE","VIC","8008","","14381","15899","0","0"
"2015-16","Seniors United Party of Australia","D5 Broadlands Estate","9 Milpera Road","GREEN POINT","NSW","2251","","11487","12720","0","0"
"2015-16","Shooters, Fishers and Farmers Party","PO Box 515","","ASHFIELD","NSW","1800","","241455","248110","103727","0"
"2015-16","Smokers Rights Party","PO Box 4133","","BRADBURY","NSW","2560","","1110","110","0","0"
"2015-16","Socialist Alliance","PO Box 114","","BROADWAY","NSW","2007","","80046","64140","2558","0"
"2015-16","Socialist Equality Party","PO BOX 574","","STRAWBERRY HILLS","NSW","2012","","397564","406493","0","0"
"2015-16","Sustainable Australia Party - Stop Overdevelopment / Corruption","PO Box 575","","CROWS NEST","NSW","1585","","950764","919458","11752","0"
"2015-16","The Arts Party","PO Box 114","","KINGSFORD","NSW","2032","","62691","59545","0","0"
"2015-16","The Australian Greens - Victoria","GPO Box 4589","","MELBOURNE","VIC","3001","The Greens","4914806","4104065","1649716","0"
"2015-16","The Australian Mental Health Party","PO Box 1505","","APPLECROSS","WA","6953","","0","327","0","0"
"2015-16","The Greens (WA) Inc","91/215 Stirling Street","","PERTH","WA","6000","The Greens","993757","848059","82658","0"
"2015-16","The Greens NSW","PO Box 48","","BROADWAY","NSW","2007","The Greens","3829352","3333416","926071","0"
"2015-16","Voluntary Euthanasia Party","PO Box 4401","","HAWKER","ACT","2614","","62596","43924","0","0"
"2015-16","VOTEFLUX.ORG | Upgrade Democracy!","5/155 Clarence St","","SYDNEY","NSW","2000","","210321","201718","0","0"
"2015-16","Yellow Vest Australia","PO Box 290","","South Melbourne","VIC","3205","","1149337","500238","34274","0"
"2014-15","21st Century Australia","68 The Promenade","","SURFERS PARADISE","QLD","4217","","0","0","0","0"
"2014-15","Animal Justice Party","PO Box Q1688","","QUEEN VICTORIA BUILDING","NSW","1230","","87376","67748","0","0"
"2014-15","Australia First Party (NSW) Incorporated","PO Box 593","","ROCKDALE","NSW","2216","","16043","17682","0","0"
"2014-15","Australian Christians","PO Box 1077","","OSBORNE PARK","WA","6916","","280222","216009","0","0"
"2014-15","Australian Citizens Party","PO Box 376","","COBURG","VIC","3058","","2141198","2084325","712323","0"
"2014-15","Australian Cyclists Party","PO Box 460","","BERRY","NSW","2535","","29592","27066","3209","0"
"2014-15","Australian Defence Veterans Party","PO Box 3335","","CAROLINE SPRINGS","VIC","3023","","672","2717","0","0"
"2014-15","Australian Equality Party (Marriage)","PO Box 43","Moonee Vale LPO","BRUNSWICK WEST","VIC","3055","","60597","42342","0","0"
"2014-15","Australian Federation Party","53 Grand Ridge West","","MIRBOO NORTH","VIC","3871","","85966","103311","0","0"
"2014-15","Australian Greens","PO BOX 1108","","CANBERRA","ACT","2601","The Greens","2355249","2088941","517834","0"
"2014-15","Australian Greens (South Australia)","7/291 Angas Street","","ADELAIDE","SA","5000","The Greens","160874","156032","0","0"
"2014-15","Australian Greens, Australian Capital Territory Branch","GPO Box 2019","","CANBERRA CITY","ACT","2601","The Greens","199013","166204","5127","0"
"2014-15","Australian Greens, Northern Territory Branch","PO Box 421","","NIGHTCLIFF","NT","0814","The Greens","33478","11005","0","0"
"2014-15","Australian Greens, Tasmanian Branch","GPO Box 1132","","HOBART","TAS","7001","The Greens","318603","241857","23185","0"
"2014-15","Australian Greens, Victorian Branch","GPO Box 4589","","MELBOURNE","VIC","3001","The Greens","3000479","3168713","10407","0"
"2014-15","Australian Independents","25 Ipswich Street","","RIVERVIEW","QLD","4303","","0","0","0","0"
"2014-15","Australian Labor Party (ACT Branch)","GPO Box 3065","","CANBERRA","ACT","2601","Australian Labor Party","912171","828586","274807","0"
"2014-15","Australian Labor Party (ALP)","PO Box 6222","","KINGSTON","ACT","2604","Australian Labor Party","9681420","8688138","4082083","0"
"2014-15","Australian Labor Party (N.S.W. Branch)","PO Box K408","","HAYMARKET","NSW","1240","Australian Labor Party","17518948","19696862","3601371","0"
"2014-15","Australian Labor Party (Northern Territory) Branch","GPO Box 2026","","DARWIN","NT","0801","Australian Labor Party","433001","385592","0","0"
"2014-15","Australian Labor Party (South Australian Branch)","141 Gilles Street","","ADELAIDE","SA","5000","Australian Labor Party","2021428","1440472","24476","0"
"2014-15","Australian Labor Party (State of Queensland)","PO Box 5032","","WEST END","QLD","4101","Australian Labor Party","15402274","13814122","110153","0"
"2014-15","Australian Labor Party (Tasmanian Branch)","GPO Box 1115","","HOBART","TAS","7001","Australian Labor Party","567279","504577","58625","0"
"2014-15","Australian Labor Party (Victorian Branch)","Locked Bag 3240","","MELBOURNE","VIC","3001","Australian Labor Party","14358839","15000824","63277","0"
"2014-15","Australian Labor Party (Western Australian Branch)","PO Box 8117","","PERTH BUSINESS CENTRE","WA","6849","Australian Labor Party","2508162","2404084","389672","0"
"2014-15","Australian Motoring Enthusiast Party","PO Box 4542","","SPRINGFIELD","QLD","4300","","6280","3001","0","0"
"2014-15","Australian Progressives","24B Harpur Place","","GARRAN","ACT","2605","","706","588","4053","0"
"2014-15","Australian Sovereignty Party","PO Box 56","","KINGSVILLE","VIC","3012","","361","703","0","0"
"2014-15","Australian Sports Party","40 Jardine St","","STIRLING","WA","6021","","0","0","0","0"
"2014-15","Australian Voice Party","29 Lomandra Drive","","MORAYFIELD","QLD","4506","","2218","2398","0","0"
"2014-15","Australia's First Nations Political Party","PO Box 5079","","ALICE SPRINGS","NT","0871","","0","0","0","0"
"2014-15","Bullet Train For Australia","PO Box 6134","","O'CONNOR","ACT","2602","","0","0","10700","0"
"2014-15","Centre Alliance","PO Box 3192","","UNLEY","SA","5061","","213961","172398","55572","0"
"2014-15","Christian Democratic Party (Fred Nile Group)","PO Box 8456","","PARRAMATTA","NSW","2150","Christian Democratic Party (Fred Nile Group)","1196969","1424746","210765","0"
"2014-15","Coke in the Bubblers","263-279, Suite D","","BROADWAY","NSW","2037","","0","0","0","0"
"2014-15","Country Labor Party","PO Box K408","","HAYMARKET","NSW","1240","Australian Labor Party","977014","766487","0","0"
"2014-15","Country Liberal Party (NT)","PO Box 4194","","DARWIN","NT","0801","","585709","460411","6419","0"
"2014-15","Democratic Labour Party","PO Box 678","","CIVIC SQUARE","ACT","2608","Democratic Labor Party","0","0","0","0"
"2014-15","Drug Law Reform Australia","4/22 Narong Road","","CAULFIELD NORTH","VIC","3161","","2082","1981","113","0"
"2014-15","Family First Party","PO Box 145","","HIGHBURY","SA","5089","Family First","108730","122857","15272","0"
"2014-15","Family First Party - QLD","11 Myal Ct","","MANGO HILL","QLD","4509","Family First","51430","32838","23553","0"
"2014-15","Family First Party - SA","PO Box 44","","CAMPBELLTOWN","SA","5074","Family First","24459","14840","0","0"
"2014-15","Family First Party - VIC","Level 1, Suite 1","441 Canterbury Road","SURREY HILLS","VIC","3127","Family First","27694","30988","22650","0"
"2014-15","Health Australia Party","PO Box 695","","GISBORNE","VIC","3437","","70","0","0","0"
"2014-15","Help End Marijuana Prohibition (HEMP) Party","PO Box 20177","","NIMBIN","NSW","2480","","2895","3115","498","0"
"2014-15","Jacqui Lambie Network","PO Box 264","","Burnie","TAS","7320","","100","0","0","0"
"2014-15","John Madigan's Manufacturing and Farming Party","PO Box 815","","BALLARAT","VIC","3353","","0","0","0","0"
"2014-15","Katter's Australian Party (KAP)","PO Box 1022","","TOWNSVILLE","QLD","4810","","610065","500661","14476","0"
"2014-15","Liberal Democratic Party","Level 1","203-205 Blackburn Road","MOUNT WAVERLEY","VIC","3149","","93477","96917","0","0"
"2014-15","Liberal National Party of Queensland","PO Box 940","","SPRING HILL","QLD","4004","Liberal","21633757","19852677","158003","0"
"2014-15","Liberal Party (W.A. Division) Inc","PO Box 49","","WEST PERTH","WA","6872","Liberal","3954417","2246256","69577","0"
"2014-15","Liberal Party of Australia","PO Box 6004","","KINGSTON","ACT","2604","Liberal","6060293","6176901","4773949","0"
"2014-15","Liberal Party of Australia - ACT Division","PO Box 66","","DEAKIN WEST","ACT","2600","Liberal","871816","686987","318054","0"
"2014-15","Liberal Party of Australia - Tasmanian Division","GPO Box 469","","HOBART","TAS","7001","Liberal","2066635","1792439","209410","0"
"2014-15","Liberal Party of Australia (S.A. Division)","GPO Box 20","","ADELAIDE","SA","5001","Liberal","2620907","2698855","253418","0"
"2014-15","Liberal Party of Australia (Victorian Division)","Level 12, 257 Collins Street","","MELBOURNE","VIC","3000","Liberal","21818228","24461647","641955","0"
"2014-15","Liberal Party of Australia, NSW Division","Locked Bag 2","","KINGS CROSS","NSW","1340","Liberal","20377580","19389738","10594970","0"
"2014-15","National Party of Australia","PO Box 6190","","KINGSTON","ACT","2604","The Nationals","1192046","1171062","3536","0"
"2014-15","National Party of Australia - N.S.W.","GPO Box 4558","","SYDNEY","NSW","2001","The Nationals","7036330","8006810","2963908","0"
"2014-15","National Party of Australia - Victoria","Suite 908, Level 9","343 Little Collins Street","MELBOURNE","VIC","3000","The Nationals","2118992","2291025","38779","0"
"2014-15","National Party of Australia (S.A.) Inc.","5 Maple Court","","OAKBANK","SA","5243","The Nationals","12726","12229","0","0"
"2014-15","National Party of Australia (WA) Inc","PO Box 1418","","WEST PERTH","WA","6872","The Nationals","733116","664266","66022","0"
"2014-15","Non-Custodial Parents Party (Equal Parenting)","PO Box 97","","DOUGLAS PARK","NSW","2569","","3","0","0","0"
"2014-15","Online Direct Democracy - (Empowering the People!)","70 Carrington Pde","","CURL CURL","NSW","2096","","5485","58","106862","0"
"2014-15","Outdoor Recreation Party (Stop The Greens)","PO Box 636","","DRUMMOYNE","NSW","1470","","7","0","0","0"
"2014-15","Palmer United Party","GPO Box 3138","","BRISBANE","QLD","4001","","11228590","10586021","38117","0"
"2014-15","Pauline Hanson's One Nation","PO Box 136","","PINKENBA","QLD","4008","One Nation","69207","11151","0","0"
"2014-15","Pirate Party Australia","PO Box 385","","FIGTREE","NSW","2525","","7946","10126","0","0"
"2014-15","Queensland Greens","PO Box 2335","","MILTON","QLD","4064","The Greens","480161","914470","107518","0"
"2014-15","Republican Party of Australia","PO Box 843","","CASTLE HILL","NSW","1765","","28661","28483","3470","0"
"2014-15","Rise Up Australia Party","PO Box 137","","HALLAM","VIC","3803","","187562","214881","22388","0"
"2014-15","Science Party","49 Harrington St","","ENMORE","NSW","2042","","9246","9959","1957","0"
"2014-15","Secular Party of Australia","PO Box 6004","","MELBOURNE","VIC","8008","","4171","2946","0","0"
"2014-15","Seniors United Party of Australia","D5 Broadlands Estate","9 Milpera Road","GREEN POINT","NSW","2251","","2969","1497","0","0"
"2014-15","Shooters, Fishers and Farmers Party","PO Box 515","","ASHFIELD","NSW","1800","","148256","151846","13032","0"
"2014-15","Smokers Rights Party","PO Box 4133","","BRADBURY","NSW","2560","","20","135","0","0"
"2014-15","Socialist Alliance","PO Box 114","","BROADWAY","NSW","2007","","49851","57113","636","0"
"2014-15","Socialist Equality Party","PO BOX 574","","STRAWBERRY HILLS","NSW","2012","","367647","364250","0","0"
"2014-15","Sustainable Australia Party - Stop Overdevelopment / Corruption","PO Box 575","","CROWS NEST","NSW","1585","","122920","117499","3617","0"
"2014-15","The Arts Party","PO Box 114","","KINGSFORD","NSW","2032","","9911","9144","0","0"
"2014-15","The Greens (WA) Inc","91/215 Stirling Street","","PERTH","WA","6000","The Greens","602012","489230","59767","0"
"2014-15","The Greens NSW","PO Box 48","","BROADWAY","NSW","2007","The Greens","3834608","5057283","480125","0"
"2014-15","The Wikileaks Party","9/288 Brunswick St","","FITZROY","VIC","3065","","680","0","0","0"
"2014-15","Uniting Australia Party","11B Dane Court","","SHAILER PARK","QLD","4128","","0","0","0","0"
"2014-15","Voluntary Euthanasia Party","PO Box 4401","","HAWKER","ACT","2614","","5023","17588","0","0"
"2013-14","21st Century Australia","68 The Promenade","","SURFERS PARADISE","QLD","4217","","0","0","0","0"
"2013-14","Animal Justice Party","PO Box Q1688","","QUEEN VICTORIA BUILDING","NSW","1230","","0","386","0","0"
"2013-14","Australia First Party (NSW) Incorporated","PO Box 593","","ROCKDALE","NSW","2216","","36071","32831","0","0"
"2013-14","Australian Christians","PO Box 1077","","OSBORNE PARK","WA","6916","","398319","437644","0","0"
"2013-14","Australian Citizens Party","PO Box 376","","COBURG","VIC","3058","","2090891","2035943","728358","0"
"2013-14","Australian Democrats","PO Box 573","","GOODWOOD","SA","5034","Democrats","119190","160286","29580","0"
"2013-14","Australian Federation Party","53 Grand Ridge West","","MIRBOO NORTH","VIC","3871","","26623","56997","0","0"
"2013-14","Australian Fishing and Lifestyle Party","PO Box 12033","","EARLVILLE BC","QLD","4870","","72149","93417","0","0"
"2013-14","Australian Greens","PO BOX 1108","","CANBERRA","ACT","2601","The Greens","6675280","6369223","280120","0"
"2013-14","Australian Greens (South Australia)","7/291 Angas Street","","ADELAIDE","SA","5000","The Greens","1501854","1687280","9638","0"
"2013-14","Australian Greens, Australian Capital Territory Branch","GPO Box 2019","","CANBERRA CITY","ACT","2601","The Greens","640052","588664","15278","0"
"2013-14","Australian Greens, Northern Territory Branch","PO Box 421","","NIGHTCLIFF","NT","0814","The Greens","88894","60868","0","0"
"2013-14","Australian Greens, Tasmanian Branch","GPO Box 1132","","HOBART","TAS","7001","The Greens","907425","931859","35705","0"
"2013-14","Australian Greens, Victorian Branch","GPO Box 4589","","MELBOURNE","VIC","3001","The Greens","3579352","3196781","12323","0"
"2013-14","Australian Independents","25 Ipswich Street","","RIVERVIEW","QLD","4303","","0","2000","0","0"
"2013-14","Australian Labor Party (ACT Branch)","GPO Box 3065","","CANBERRA","ACT","2601","Australian Labor Party","962877","955397","387915","0"
"2013-14","Australian Labor Party (ALP)","PO Box 6222","","KINGSTON","ACT","2604","Australian Labor Party","38525535","38904076","599690","0"
"2013-14","Australian Labor Party (N.S.W. Branch)","PO Box K408","","HAYMARKET","NSW","1240","Australian Labor Party","11324513","12309539","1563290","0"
"2013-14","Australian Labor Party (Northern Territory) Branch","GPO Box 2026","","DARWIN","NT","0801","Australian Labor Party","384933","450762","35877","0"
"2013-14","Australian Labor Party (South Australian Branch)","141 Gilles Street","","ADELAIDE","SA","5000","Australian Labor Party","4721756","5626942","188480","0"
"2013-14","Australian Labor Party (State of Queensland)","PO Box 5032","","WEST END","QLD","4101","Australian Labor Party","8447783","7992624","182997","0"
"2013-14","Australian Labor Party (Tasmanian Branch)","GPO Box 1115","","HOBART","TAS","7001","Australian Labor Party","1516986","2189496","111515","0"
"2013-14","Australian Labor Party (Victorian Branch)","Locked Bag 3240","","MELBOURNE","VIC","3001","Australian Labor Party","6917714","7816058","159715","0"
"2013-14","Australian Labor Party (Western Australian Branch)","PO Box 8117","","PERTH BUSINESS CENTRE","WA","6849","Australian Labor Party","3548459","3053349","221804","0"
"2013-14","Australian Motoring Enthusiast Party","PO Box 4542","","SPRINGFIELD","QLD","4300","","41661","45823","0","0"
"2013-14","Australian Protectionist Party","PO Box 170","","DOVER","TAS","7117","","2075","5065","0","0"
"2013-14","Australian Sex Party","PO Box 1131","","CARLTON","VIC","3053","","607532","613233","45475","0"
"2013-14","Australian Sovereignty Party","PO Box 56","","KINGSVILLE","VIC","3012","","1300","2378","0","0"
"2013-14","Australian Sports Party","40 Jardine St","","STIRLING","WA","6021","","0","0","0","0"
"2013-14","Australian Voice Party","29 Lomandra Drive","","MORAYFIELD","QLD","4506","","5489","5100","0","0"
"2013-14","Australia's First Nations Political Party","PO Box 5079","","ALICE SPRINGS","NT","0871","","50000","0","0","0"
"2013-14","Building Australia Party","PO Box 7400","","BAULKHAM HILLS BC","NSW","2153","","14638","32102","33528","0"
"2013-14","Bullet Train For Australia","PO Box 6134","","O'CONNOR","ACT","2602","","71419","71794","10700","0"
"2013-14","Carers Alliance","PO Box 133","","DRUMMOYNE","NSW","1470","","500","4130","0","0"
"2013-14","Centre Alliance","PO Box 3192","","UNLEY","SA","5061","","1029651","975270","18253","0"
"2013-14","Christian Democratic Party (Fred Nile Group)","PO Box 8456","","PARRAMATTA","NSW","2150","Christian Democratic Party (Fred Nile Group)","808932","796938","27665","0"
"2013-14","Coke in the Bubblers","263-279, Suite D","","BROADWAY","NSW","2037","","180","180","0","0"
"2013-14","Country Labor Party","PO Box K408","","HAYMARKET","NSW","1240","Australian Labor Party","48494","297","0","0"
"2013-14","Country Liberal Party (NT)","PO Box 4194","","DARWIN","NT","0801","","1516752","1409200","150000","0"
"2013-14","Democratic Labor Party (DLP) of Australia SA Branch","PO Box 373","","GLENELG","SA","5045","Democratic Labor Party","3030","5709","0","0"
"2013-14","Democratic Labour Party","PO Box 678","","CIVIC SQUARE","ACT","2608","Democratic Labor Party","0","0","0","0"
"2013-14","Democratic Labour Party - Queensland Branch","PO Box 3086","","CHERMSIDE WEST","QLD","4032","Democratic Labor Party","670","1205","0","0"
"2013-14","Democratic Labour Party - Victorian Branch","GPO Box 1402","","MELBOURNE","VIC","3001","Democratic Labor Party","172524","182562","6602","0"
"2013-14","Democratic Labour Party - WA Branch","PO Box 1119","","WILLAGEE","WA","6156","Democratic Labor Party","12030","0","0","0"
"2013-14","Democratic Labour Party NSW Branch","70 Liverpool Road","","BURWOOD  HEIGHTS","NSW","2136","Democratic Labor Party","27497","33391","0","0"
"2013-14","Drug Law Reform Australia","4/22 Narong Road","","CAULFIELD NORTH","VIC","3161","","30902","30902","112","0"
"2013-14","Family First Party","PO Box 145","","HIGHBURY","SA","5089","Family First","2562627","1101715","27041","0"
"2013-14","Family First Party - QLD","11 Myal Ct","","MANGO HILL","QLD","4509","Family First","143223","152059","1327","0"
"2013-14","Family First Party - SA","PO Box 44","","CAMPBELLTOWN","SA","5074","Family First","236170","238638","0","0"
"2013-14","Family First Party - VIC","Level 1, Suite 1","441 Canterbury Road","SURREY HILLS","VIC","3127","Family First","413078","404710","3062","0"
"2013-14","Freedom and Prosperity Party","PO Box 721","","MOUNT GAMBIER","SA","5290","","16917","41471","0","0"
"2013-14","Health Australia Party","PO Box 695","","GISBORNE","VIC","3437","","765","1059","0","0"
"2013-14","Help End Marijuana Prohibition (HEMP) Party","PO Box 20177","","NIMBIN","NSW","2480","","68883","69007","0","0"
"2013-14","Katter's Australian Party (KAP)","PO Box 1022","","TOWNSVILLE","QLD","4810","","660473","613238","5747","0"
"2013-14","Liberal Democratic Party","Level 1","203-205 Blackburn Road","MOUNT WAVERLEY","VIC","3149","","1184518","1125008","0","0"
"2013-14","Liberal National Party of Queensland","PO Box 940","","SPRING HILL","QLD","4004","Liberal","18638485","17814212","285781","0"
"2013-14","Liberal Party (W.A. Division) Inc","PO Box 49","","WEST PERTH","WA","6872","Liberal","9916358","10213642","115626","0"
"2013-14","Liberal Party of Australia","PO Box 6004","","KINGSTON","ACT","2604","Liberal","43012140","45593018","4140880","0"
"2013-14","Liberal Party of Australia - ACT Division","PO Box 66","","DEAKIN WEST","ACT","2600","Liberal","1162841","988254","492269","0"
"2013-14","Liberal Party of Australia - Tasmanian Division","GPO Box 469","","HOBART","TAS","7001","Liberal","4237261","4845236","153373","0"
"2013-14","Liberal Party of Australia (S.A. Division)","GPO Box 20","","ADELAIDE","SA","5001","Liberal","10188576","8483345","115744","0"
"2013-14","Liberal Party of Australia (Victorian Division)","Level 12, 257 Collins Street","","MELBOURNE","VIC","3000","Liberal","18372238","20313370","2196876","0"
"2013-14","Liberal Party of Australia, NSW Division","Locked Bag 2","","KINGS CROSS","NSW","1340","Liberal","19639421","20466742","3397454","0"
"2013-14","Mutual Party","PO Box 234","","WILLIAMS","WA","6391","","0","0","0","0"
"2013-14","National Party of Australia","PO Box 6190","","KINGSTON","ACT","2604","The Nationals","1731952","2052337","96922","0"
"2013-14","National Party of Australia - N.S.W.","GPO Box 4558","","SYDNEY","NSW","2001","The Nationals","7572705","7186534","1060447","0"
"2013-14","National Party of Australia - Victoria","Suite 908, Level 9","343 Little Collins Street","MELBOURNE","VIC","3000","The Nationals","1754765","1864592","71632","0"
"2013-14","National Party of Australia (S.A.) Inc.","5 Maple Court","","OAKBANK","SA","5243","The Nationals","26459","36250","0","0"
"2013-14","National Party of Australia (WA) Inc","PO Box 1418","","WEST PERTH","WA","6872","The Nationals","1274167","1184744","70194","0"
"2013-14","Non-Custodial Parents Party (Equal Parenting)","PO Box 97","","DOUGLAS PARK","NSW","2569","","100","4010","0","0"
"2013-14","Online Direct Democracy - (Empowering the People!)","70 Carrington Pde","","CURL CURL","NSW","2096","","30431","27124","106808","0"
"2013-14","Outdoor Recreation Party (Stop The Greens)","PO Box 636","","DRUMMOYNE","NSW","1470","","24820","24777","0","0"
"2013-14","Palmer United Party","GPO Box 3138","","BRISBANE","QLD","4001","","28827604","28822558","322842","0"
"2013-14","Pauline Hanson's One Nation","PO Box 136","","PINKENBA","QLD","4008","One Nation","23308","48424","0","0"
"2013-14","Pirate Party Australia","PO Box 385","","FIGTREE","NSW","2525","","37168","50144","0","0"
"2013-14","Queensland Greens","PO Box 2335","","MILTON","QLD","4064","The Greens","1187511","1120915","45752","0"
"2013-14","Republican Party of Australia","PO Box 843","","CASTLE HILL","NSW","1765","","36446","35723","0","0"
"2013-14","Rise Up Australia Party","PO Box 137","","HALLAM","VIC","3803","","477251","604385","12090","0"
"2013-14","Science Party","49 Harrington St","","ENMORE","NSW","2042","","12367","11661","888","0"
"2013-14","Secular Party of Australia","PO Box 6004","","MELBOURNE","VIC","8008","","35552","75990","0","0"
"2013-14","Shooters, Fishers and Farmers Party","PO Box 515","","ASHFIELD","NSW","1800","","385709","212513","73000","0"
"2013-14","Single Parents' Party","PO Box 355","","STRATHDALE","VIC","3550","","0","0","0","0"
"2013-14","Smokers Rights Party","PO Box 4133","","BRADBURY","NSW","2560","","3180","1920","0","0"
"2013-14","Socialist Alliance","PO Box 114","","BROADWAY","NSW","2007","","89234","98979","80","0"
"2013-14","Socialist Equality Party","PO BOX 574","","STRAWBERRY HILLS","NSW","2012","","289520","310057","0","0"
"2013-14","Stop CSG Party","PO Box 38","","TEA GARDENS","NSW","2324","","25348","25348","0","0"
"2013-14","Sustainable Australia Party - Stop Overdevelopment / Corruption","PO Box 575","","CROWS NEST","NSW","1585","","228060","255369","2672","0"
"2013-14","The 23 Million","Westside Level 2","75-85 O'Riordan St","ALEXANDRIA","NSW","2015","","7380","3132","0","0"
"2013-14","The Greens (WA) Inc","91/215 Stirling Street","","PERTH","WA","6000","The Greens","3157250","3014117","109666","0"
"2013-14","The Greens NSW","PO Box 48","","BROADWAY","NSW","2007","The Greens","3830239","3050249","40702","0"
"2013-14","The Wikileaks Party","9/288 Brunswick St","","FITZROY","VIC","3065","","204910","134670","48258","0"
"2013-14","Uniting Australia Party","11B Dane Court","","SHAILER PARK","QLD","4128","","29440","29440","0","0"
"2013-14","Voluntary Euthanasia Party","PO Box 4401","","HAWKER","ACT","2614","","189394","124114","0","0"
"2012-13","Animal Justice Party","PO Box Q1688","","QUEEN VICTORIA BUILDING","NSW","1230","","26102","16307","0","0"
"2012-13","Australia First Party (NSW) Incorporated","PO Box 593","","ROCKDALE","NSW","2216","","24024","37001","0","0"
"2012-13","Australian Christians","PO Box 1077","","OSBORNE PARK","WA","6916","","466217","373922","0","0"
"2012-13","Australian Citizens Party","PO Box 376","","COBURG","VIC","3058","","1872440","1819211","737850","0"
"2012-13","Australian Democrats","PO Box 573","","GOODWOOD","SA","5034","Democrats","67092","42682","23076","0"
